path,lines,scan,python_functions,broad_exception_handlers
backend/app/__init__.py,0,Python AST parsed,0,0
backend/app/api/__init__.py,0,Python AST parsed,0,0
backend/app/api/routes_articles.py,23,Python AST parsed,2,0
backend/app/api/routes_auth.py,215,Python AST parsed,12,0
backend/app/api/routes_calibration.py,177,Python AST parsed,6,0
backend/app/api/routes_classify.py,278,Python AST parsed,2,0
backend/app/api/routes_dev.py,290,Python AST parsed,7,0
backend/app/api/routes_feed.py,60,Python AST parsed,4,0
backend/app/api/routes_feedback.py,72,Python AST parsed,2,0
backend/app/api/routes_health.py,8,Python AST parsed,1,0
backend/app/api/routes_ingest.py,343,Python AST parsed,11,0
backend/app/api/routes_learning.py,184,Python AST parsed,4,0
backend/app/api/routes_me.py,398,Python AST parsed,19,0
backend/app/api/routes_profiles.py,50,Python AST parsed,3,0
backend/app/api/routes_results.py,78,Python AST parsed,5,0
backend/app/api/routes_scheduler.py,331,Python AST parsed,9,0
backend/app/api/routes_taxonomy.py,170,Python AST parsed,4,0
backend/app/api/routes_translation.py,224,Python AST parsed,2,1
backend/app/calibration_v2/__init__.py,13,Python AST parsed,0,0
backend/app/calibration_v2/dataset.py,537,Python AST parsed,1,0
backend/app/calibration_v2/inference.py,219,Python AST parsed,5,0
backend/app/calibration_v2/selection.py,224,Python AST parsed,6,0
backend/app/classification/__init__.py,0,Python AST parsed,0,0
backend/app/classification/entity_normalizer.py,89,Python AST parsed,2,0
backend/app/classification/event_evidence.py,661,Python AST parsed,19,0
backend/app/classification/facts.py,554,Python AST parsed,9,0
backend/app/classification/gating.py,140,Python AST parsed,1,0
backend/app/classification/llm_result.py,14,Python AST parsed,0,0
backend/app/classification/merge.py,245,Python AST parsed,2,0
backend/app/classification/prompt.py,54,Python AST parsed,1,0
backend/app/classification/providers.py,216,Python AST parsed,12,2
backend/app/classification/service.py,57,Python AST parsed,1,0
backend/app/classification/source_hints.py,104,Python AST parsed,1,0
backend/app/classification/sport_guards.py,104,Python AST parsed,5,0
backend/app/classification/validation.py,115,Python AST parsed,3,0
backend/app/clustering/__init__.py,38,Python AST parsed,0,0
backend/app/clustering/anchor_contract.py,119,Python AST parsed,5,0
backend/app/clustering/anchor_enrichment.py,182,Python AST parsed,9,0
backend/app/clustering/anchor_normalization.py,77,Python AST parsed,2,0
backend/app/clustering/anchor_validators.py,309,Python AST parsed,14,3
backend/app/clustering/anchors.py,509,Python AST parsed,16,2
backend/app/clustering/candidate_scope.py,132,Python AST parsed,4,0
backend/app/clustering/claims.py,100,Python AST parsed,3,0
backend/app/clustering/coherence.py,310,Python AST parsed,9,0
backend/app/clustering/config.py,192,Python AST parsed,3,0
backend/app/clustering/contract.py,100,Python AST parsed,1,0
backend/app/clustering/event_states.py,81,Python AST parsed,5,0
backend/app/clustering/identity.py,45,Python AST parsed,2,0
backend/app/clustering/ingest_stage.py,270,Python AST parsed,6,3
backend/app/clustering/intra_source.py,156,Python AST parsed,2,0
backend/app/clustering/matcher.py,242,Python AST parsed,10,0
backend/app/clustering/service.py,103,Python AST parsed,3,0
backend/app/clustering/tokens.py,204,Python AST parsed,9,0
backend/app/core/__init__.py,0,Python AST parsed,0,0
backend/app/core/config.py,40,Python AST parsed,1,0
backend/app/core/csrf.py,36,Python AST parsed,1,0
backend/app/core/security_deps.py,96,Python AST parsed,8,0
backend/app/db/__init__.py,0,Python AST parsed,0,0
backend/app/db/corpus_protection.py,98,Python AST parsed,4,0
backend/app/db/database.py,107,Python AST parsed,4,0
backend/app/db/orm_models.py,486,Python AST parsed,0,0
backend/app/ingestion/__init__.py,0,Python AST parsed,0,0
backend/app/ingestion/adapters/__init__.py,0,Python AST parsed,0,0
backend/app/ingestion/adapters/base.py,20,Python AST parsed,1,0
backend/app/ingestion/adapters/factory.py,33,Python AST parsed,1,0
backend/app/ingestion/adapters/one_adapter.py,190,Python AST parsed,10,4
backend/app/ingestion/adapters/rss_adapter.py,88,Python AST parsed,3,1
backend/app/ingestion/adapters/sport5_adapter.py,235,Python AST parsed,9,3
backend/app/ingestion/classifier.py,1156,Python AST parsed,30,0
backend/app/ingestion/config.py,183,Python AST parsed,2,0
backend/app/ingestion/dedup.py,27,Python AST parsed,2,0
backend/app/ingestion/ingestion_service.py,684,Python AST parsed,6,2
backend/app/ingestion/orchestration.py,461,Python AST parsed,19,8
backend/app/ingestion/retention.py,133,Python AST parsed,3,0
backend/app/ingestion/run_metrics.py,157,Python AST parsed,4,0
backend/app/ingestion/source_state.py,32,Python AST parsed,3,0
backend/app/ingestion/subtitle.py,72,Python AST parsed,2,0
backend/app/main.py,144,Python AST parsed,4,0
backend/app/models/__init__.py,0,Python AST parsed,0,0
backend/app/models/article.py,43,Python AST parsed,0,0
backend/app/models/benchmark.py,43,Python AST parsed,0,0
backend/app/models/calibration.py,13,Python AST parsed,0,0
backend/app/models/feedback.py,26,Python AST parsed,0,0
backend/app/models/ingestion.py,150,Python AST parsed,0,0
backend/app/models/profile.py,33,Python AST parsed,0,0
backend/app/models/profile_v2.py,124,Python AST parsed,4,0
backend/app/models/scoring.py,64,Python AST parsed,0,0
backend/app/models/source.py,10,Python AST parsed,0,0
backend/app/models/translation.py,34,Python AST parsed,0,0
backend/app/notifications/__init__.py,0,Python AST parsed,0,0
backend/app/notifications/dispatcher.py,167,Python AST parsed,5,0
backend/app/notifications/outbox.py,243,Python AST parsed,5,0
backend/app/notifications/planner.py,186,Python AST parsed,7,0
backend/app/notifications/telegram.py,145,Python AST parsed,6,1
backend/app/qa/__init__.py,1,Python AST parsed,0,0
backend/app/qa/fact_consistency.py,152,Python AST parsed,3,0
backend/app/repositories/__init__.py,0,Python AST parsed,0,0
backend/app/repositories/article_repository.py,255,Python AST parsed,13,0
backend/app/repositories/calibration_repository.py,46,Python AST parsed,5,0
backend/app/repositories/cluster_repository.py,392,Python AST parsed,14,0
backend/app/repositories/feedback_repository.py,85,Python AST parsed,7,0
backend/app/repositories/game_result_repository.py,110,Python AST parsed,7,0
backend/app/repositories/ingestion_repository.py,81,Python AST parsed,4,0
backend/app/repositories/profile_repository.py,85,Python AST parsed,8,0
backend/app/repositories/seed_runner.py,43,Python AST parsed,1,0
backend/app/repositories/source_override_repository.py,43,Python AST parsed,4,0
backend/app/repositories/source_repository.py,47,Python AST parsed,6,0
backend/app/results/__init__.py,5,Python AST parsed,0,0
backend/app/results/models.py,72,Python AST parsed,2,0
backend/app/results/normalization.py,77,Python AST parsed,4,0
backend/app/results/providers/__init__.py,19,Python AST parsed,1,0
backend/app/results/providers/base.py,31,Python AST parsed,1,0
backend/app/results/providers/fake.py,103,Python AST parsed,3,0
backend/app/results/providers/thesportsdb.py,182,Python AST parsed,6,1
backend/app/results/relevance.py,92,Python AST parsed,4,0
backend/app/results/service.py,94,Python AST parsed,3,0
backend/app/results/settings.py,133,Python AST parsed,15,0
backend/app/results/status.py,75,Python AST parsed,2,0
backend/app/results/sync_service.py,119,Python AST parsed,5,0
backend/app/results/team_resolver.py,86,Python AST parsed,6,0
backend/app/seed/__init__.py,0,Python AST parsed,0,0
backend/app/seed/seed_articles.py,303,Python AST parsed,2,0
backend/app/seed/seed_calibration.py,27,Python AST parsed,1,0
backend/app/seed/seed_profiles.py,428,Python AST parsed,2,0
